entityId,Data_Release,Id,type,CDS_Release,IDC_Release,Component
syn25459682,Release 1.0,,file,,,
syn23764007,Release 1.0,,file,,,OtherAssay
syn23764047,Release 1.0,,file,,,OtherAssay
syn23763993,Release 1.0,,file,,,OtherAssay
syn23764023,Release 1.0,,file,,,OtherAssay
syn23763976,Release 1.0,,file,,,OtherAssay
syn23764029,Release 1.0,,file,,,OtherAssay
syn23763979,Release 1.0,,file,,,OtherAssay
syn23764037,Release 1.0,,file,,,OtherAssay
syn23763987,Release 1.0,,file,,,OtherAssay
syn23764017,Release 1.0,,file,,,OtherAssay
syn23764086,Release 1.0,,file,,,OtherAssay
syn23764123,Release 1.0,,file,,,OtherAssay
syn23764055,Release 1.0,,file,,,OtherAssay
syn23764107,Release 1.0,,file,,,OtherAssay
syn23764094,Release 1.0,,file,,,OtherAssay
syn23764110,Release 1.0,,file,,,OtherAssay
syn23763981,Release 1.0,,file,,,OtherAssay
syn23764044,Release 1.0,,file,,,OtherAssay
syn23764100,Release 1.0,,file,,,OtherAssay
syn23764103,Release 1.0,,file,,,OtherAssay
syn23763977,Release 1.0,,file,,,OtherAssay
syn23764024,Release 1.0,,file,,,OtherAssay
syn23764078,Release 1.0,,file,,,OtherAssay
syn23764137,Release 1.0,,file,,,OtherAssay
syn23764115,Release 1.0,,file,,,OtherAssay
syn23764167,Release 1.0,,file,,,OtherAssay
syn23764104,Release 1.0,,file,,,OtherAssay
syn23764187,Release 1.0,,file,,,OtherAssay
syn23764069,Release 1.0,,file,,,OtherAssay
syn23764120,Release 1.0,,file,,,OtherAssay
syn23764068,Release 1.0,,file,,,OtherAssay
syn23764122,Release 1.0,,file,,,OtherAssay
syn23764090,Release 1.0,,file,,,OtherAssay
syn23764154,Release 1.0,,file,,,OtherAssay
syn23764011,Release 1.0,,file,,,OtherAssay
syn23764059,Release 1.0,,file,,,OtherAssay
syn23764097,Release 1.0,,file,,,OtherAssay
syn23764146,Release 1.0,,file,,,OtherAssay
syn23764112,Release 1.0,,file,,,OtherAssay
syn23764169,Release 1.0,,file,,,OtherAssay
syn23764134,Release 1.0,,file,,,OtherAssay
syn23764176,Release 1.0,,file,,,OtherAssay
syn23764111,Release 1.0,,file,,,OtherAssay
syn23764160,Release 1.0,,file,,,OtherAssay
syn23764026,Release 1.0,,file,,,OtherAssay
syn23764056,Release 1.0,,file,,,OtherAssay
syn23764141,Release 1.0,,file,,,OtherAssay
syn23764133,Release 1.0,,file,,,OtherAssay
syn23764168,Release 1.0,,file,,,OtherAssay
syn23764127,Release 1.0,,file,,,OtherAssay
syn23764140,Release 1.0,,file,,,OtherAssay
syn23764126,Release 1.0,,file,,,OtherAssay
syn23764180,Release 1.0,,file,,,OtherAssay
syn23764067,Release 1.0,,file,,,OtherAssay
syn23764124,Release 1.0,,file,,,OtherAssay
syn23764080,Release 1.0,,file,,,OtherAssay
syn23764087,Release 1.0,,file,,,OtherAssay
syn23764150,Release 1.0,,file,,,OtherAssay
syn23764081,Release 1.0,,file,,,OtherAssay
syn23764142,Release 1.0,,file,,,OtherAssay
syn23764182,Release 1.0,,file,,,OtherAssay
syn23764130,Release 1.0,,file,,,OtherAssay
syn23764185,Release 1.0,,file,,,OtherAssay
syn23764084,Release 1.0,,file,,,OtherAssay
syn23763983,Release 1.0,,file,,,OtherAssay
syn23764015,Release 1.0,,file,,,OtherAssay
syn23764027,Release 1.0,,file,,,OtherAssay
syn23764054,Release 1.0,,file,,,OtherAssay
syn23763996,Release 1.0,,file,,,OtherAssay
syn23764091,Release 1.0,,file,,,OtherAssay
syn23764061,Release 1.0,,file,,,OtherAssay
syn23764159,Release 1.0,,file,,,OtherAssay
syn23764005,Release 1.0,,file,,,OtherAssay
syn23764041,Release 1.0,,file,,,OtherAssay
syn23764000,Release 1.0,,file,,,OtherAssay
syn23764046,Release 1.0,,file,,,OtherAssay
syn23763978,Release 1.0,,file,,,OtherAssay
syn23764018,Release 1.0,,file,,,OtherAssay
syn23763994,Release 1.0,,file,,,OtherAssay
syn23764031,Release 1.0,,file,,,OtherAssay
syn23764030,Release 1.0,,file,,,OtherAssay
syn23764052,Release 1.0,,file,,,OtherAssay
syn23764179,Release 1.0,,file,,,OtherAssay
syn23764175,Release 1.0,,file,,,OtherAssay
syn24167658,Release 1.0,,file,,,OtherAssay
syn24167679,Release 1.0,,file,,,OtherAssay
syn24167748,Release 1.0,,file,,,OtherAssay
syn24167794,Release 1.0,,file,,,OtherAssay
syn24167636,Release 1.0,,file,,,OtherAssay
syn24167672,Release 1.0,,file,,,OtherAssay
syn24167729,Release 1.0,,file,,,OtherAssay
syn24167777,Release 1.0,,file,,,OtherAssay
syn24167664,Release 1.0,,file,,,OtherAssay
syn24167694,Release 1.0,,file,,,OtherAssay
syn24167756,Release 1.0,,file,,,OtherAssay
syn24167808,Release 1.0,,file,,,OtherAssay
syn24167620,Release 1.0,,file,,,OtherAssay
syn24167654,Release 1.0,,file,,,OtherAssay
syn24167703,Release 1.0,,file,,,OtherAssay
syn24167760,Release 1.0,,file,,,OtherAssay
syn24167665,Release 1.0,,file,,,OtherAssay
syn24167700,Release 1.0,,file,,,OtherAssay
syn24167750,Release 1.0,,file,,,OtherAssay
syn24167793,Release 1.0,,file,,,OtherAssay
syn24167819,Release 1.0,,file,,,OtherAssay
syn24167898,Release 1.0,,file,,,OtherAssay
syn24991854,Release 1.0,,file,,,OtherAssay
syn25002891,Release 1.0,,file,,,OtherAssay
syn24167875,Release 1.0,,file,,,OtherAssay
syn24167957,Release 1.0,,file,,,OtherAssay
syn24991833,Release 1.0,,file,,,OtherAssay
syn24991909,Release 1.0,,file,,,OtherAssay
syn24167874,Release 1.0,,file,,,OtherAssay
syn24167958,Release 1.0,,file,,,OtherAssay
syn24991825,Release 1.0,,file,,,OtherAssay
syn24991902,Release 1.0,,file,,,OtherAssay
syn24167627,Release 1.0,,file,,,OtherAssay
syn24167656,Release 1.0,,file,,,OtherAssay
syn24167723,Release 1.0,,file,,,OtherAssay
syn24167768,Release 1.0,,file,,,OtherAssay
syn24167866,Release 1.0,,file,,,OtherAssay
syn24167945,Release 1.0,,file,,,OtherAssay
syn24991815,Release 1.0,,file,,,OtherAssay
syn24991891,Release 1.0,,file,,,OtherAssay
syn24167635,Release 1.0,,file,,,OtherAssay
syn24167690,Release 1.0,,file,,,OtherAssay
syn24167736,Release 1.0,,file,,,OtherAssay
syn24167784,Release 1.0,,file,,,OtherAssay
syn24167853,Release 1.0,,file,,,OtherAssay
syn24167944,Release 1.0,,file,,,OtherAssay
syn24991811,Release 1.0,,file,,,OtherAssay
syn24991900,Release 1.0,,file,,,OtherAssay
syn24167871,Release 1.0,,file,,,OtherAssay
syn24167953,Release 1.0,,file,,,OtherAssay
syn24991819,Release 1.0,,file,,,OtherAssay
syn24991905,Release 1.0,,file,,,OtherAssay
syn24167826,Release 1.0,,file,,,OtherAssay
syn24167912,Release 1.0,,file,,,OtherAssay
syn24991788,Release 1.0,,file,,,OtherAssay
syn24991864,Release 1.0,,file,,,OtherAssay
syn24167820,Release 1.0,,file,,,OtherAssay
syn24167911,Release 1.0,,file,,,OtherAssay
syn24991774,Release 1.0,,file,,,OtherAssay
syn24991850,Release 1.0,,file,,,OtherAssay
syn24167828,Release 1.0,,file,,,OtherAssay
syn24167908,Release 1.0,,file,,,OtherAssay
syn24991789,Release 1.0,,file,,,OtherAssay
syn24991861,Release 1.0,,file,,,OtherAssay
syn24167848,Release 1.0,,file,,,OtherAssay
syn24167925,Release 1.0,,file,,,OtherAssay
syn24991801,Release 1.0,,file,,,OtherAssay
syn24991874,Release 1.0,,file,,,OtherAssay
syn24167618,Release 1.0,,file,,,OtherAssay
syn24167667,Release 1.0,,file,,,OtherAssay
syn24167706,Release 1.0,,file,,,OtherAssay
syn24167752,Release 1.0,,file,,,OtherAssay
syn24167842,Release 1.0,,file,,,OtherAssay
syn24167923,Release 1.0,,file,,,OtherAssay
syn24991795,Release 1.0,,file,,,OtherAssay
syn24991871,Release 1.0,,file,,,OtherAssay
syn24167850,Release 1.0,,file,,,OtherAssay
syn24167930,Release 1.0,,file,,,OtherAssay
syn24991810,Release 1.0,,file,,,OtherAssay
syn24991880,Release 1.0,,file,,,OtherAssay
syn24167859,Release 1.0,,file,,,OtherAssay
syn24167937,Release 1.0,,file,,,OtherAssay
syn24991809,Release 1.0,,file,,,OtherAssay
syn24991908,Release 1.0,,file,,,OtherAssay
syn24167809,Release 1.0,,file,,,OtherAssay
syn24167890,Release 1.0,,file,,,OtherAssay
syn24991760,Release 1.0,,file,,,OtherAssay
syn24991836,Release 1.0,,file,,,OtherAssay
syn24167629,Release 1.0,,file,,,OtherAssay
syn24167666,Release 1.0,,file,,,OtherAssay
syn24167717,Release 1.0,,file,,,OtherAssay
syn24167769,Release 1.0,,file,,,OtherAssay
syn24167821,Release 1.0,,file,,,OtherAssay
syn24167901,Release 1.0,,file,,,OtherAssay
syn24991775,Release 1.0,,file,,,OtherAssay
syn24991856,Release 1.0,,file,,,OtherAssay
syn24167879,Release 1.0,,file,,,OtherAssay
syn24167959,Release 1.0,,file,,,OtherAssay
syn24991831,Release 1.0,,file,,,OtherAssay
syn24991910,Release 1.0,,file,,,OtherAssay
syn24167811,Release 1.0,,file,,,OtherAssay
syn24167886,Release 1.0,,file,,,OtherAssay
syn24991761,Release 1.0,,file,,,OtherAssay
syn24991844,Release 1.0,,file,,,OtherAssay
syn24167854,Release 1.0,,file,,,OtherAssay
syn24167931,Release 1.0,,file,,,OtherAssay
syn24991797,Release 1.0,,file,,,OtherAssay
syn24991883,Release 1.0,,file,,,OtherAssay
syn24167827,Release 1.0,,file,,,OtherAssay
syn24167900,Release 1.0,,file,,,OtherAssay
syn24991785,Release 1.0,,file,,,OtherAssay
syn24991866,Release 1.0,,file,,,OtherAssay
syn24167834,Release 1.0,,file,,,OtherAssay
syn24167920,Release 1.0,,file,,,OtherAssay
syn24991794,Release 1.0,,file,,,OtherAssay
syn24991870,Release 1.0,,file,,,OtherAssay
syn24167839,Release 1.0,,file,,,OtherAssay
syn24167916,Release 1.0,,file,,,OtherAssay
syn24991793,Release 1.0,,file,,,OtherAssay
syn24991868,Release 1.0,,file,,,OtherAssay
syn24167846,Release 1.0,,file,,,OtherAssay
syn24167924,Release 1.0,,file,,,OtherAssay
syn24991817,Release 1.0,,file,,,OtherAssay
syn24991878,Release 1.0,,file,,,OtherAssay
syn24167867,Release 1.0,,file,,,OtherAssay
syn24167956,Release 1.0,,file,,,OtherAssay
syn24991821,Release 1.0,,file,,,OtherAssay
syn24991895,Release 1.0,,file,,,OtherAssay
syn24167844,Release 1.0,,file,,,OtherAssay
syn24167922,Release 1.0,,file,,,OtherAssay
syn24991798,Release 1.0,,file,,,OtherAssay
syn24991882,Release 1.0,,file,,,OtherAssay
syn24167814,Release 1.0,,file,,,OtherAssay
syn24167893,Release 1.0,,file,,,OtherAssay
syn24991846,Release 1.0,,file,,,OtherAssay
syn25002930,Release 1.0,,file,,,OtherAssay
syn24167646,Release 1.0,,file,,,OtherAssay
syn24167697,Release 1.0,,file,,,OtherAssay
syn24167745,Release 1.0,,file,,,OtherAssay
syn24167787,Release 1.0,,file,,,OtherAssay
syn24167632,Release 1.0,,file,,,OtherAssay
syn24167673,Release 1.0,,file,,,OtherAssay
syn24167708,Release 1.0,,file,,,OtherAssay
syn24167775,Release 1.0,,file,,,OtherAssay
syn24167625,Release 1.0,,file,,,OtherAssay
syn24167696,Release 1.0,,file,,,OtherAssay
syn24167738,Release 1.0,,file,,,OtherAssay
syn24167779,Release 1.0,,file,,,OtherAssay
syn24167868,Release 1.0,,file,,,OtherAssay
syn24167926,Release 1.0,,file,,,OtherAssay
syn24991799,Release 1.0,,file,,,OtherAssay
syn24991879,Release 1.0,,file,,,OtherAssay
syn24167626,Release 1.0,,file,,,OtherAssay
syn24167685,Release 1.0,,file,,,OtherAssay
syn24167742,Release 1.0,,file,,,OtherAssay
syn24167788,Release 1.0,,file,,,OtherAssay
syn24167623,Release 1.0,,file,,,OtherAssay
syn24167657,Release 1.0,,file,,,OtherAssay
syn24167705,Release 1.0,,file,,,OtherAssay
syn24167762,Release 1.0,,file,,,OtherAssay
syn24167647,Release 1.0,,file,,,OtherAssay
syn24167687,Release 1.0,,file,,,OtherAssay
syn24167737,Release 1.0,,file,,,OtherAssay
syn24167776,Release 1.0,,file,,,OtherAssay
syn24167643,Release 1.0,,file,,,OtherAssay
syn24167689,Release 1.0,,file,,,OtherAssay
syn24167739,Release 1.0,,file,,,OtherAssay
syn24167781,Release 1.0,,file,,,OtherAssay
syn24167640,Release 1.0,,file,,,OtherAssay
syn24167704,Release 1.0,,file,,,OtherAssay
syn24167747,Release 1.0,,file,,,OtherAssay
syn24167795,Release 1.0,,file,,,OtherAssay
syn24167851,Release 1.0,,file,,,OtherAssay
syn24167941,Release 1.0,,file,,,OtherAssay
syn24991805,Release 1.0,,file,,,OtherAssay
syn24991888,Release 1.0,,file,,,OtherAssay
syn23875727,Release 1.0,,file,,,OtherAssay
syn23875785,Release 1.0,,file,,,OtherAssay
syn23875860,Release 1.0,,file,,,OtherAssay
syn23874264,Release 1.0,,file,,,OtherAssay
syn23875534,Release 1.0,,file,,,OtherAssay
syn23874530,Release 1.0,,file,,,OtherAssay
syn23876272,Release 1.0,,file,,,OtherAssay
syn23875490,Release 1.0,,file,,,OtherAssay
syn23874592,Release 1.0,,file,,,OtherAssay
syn23875615,Release 1.0,,file,,,OtherAssay
syn23874474,Release 1.0,,file,,,OtherAssay
syn23876488,Release 1.0,,file,,,OtherAssay
syn23874793,Release 1.0,,file,,,OtherAssay
syn23873830,Release 1.0,,file,,,OtherAssay
syn23874567,Release 1.0,,file,,,OtherAssay
syn23875397,Release 1.0,,file,,,OtherAssay
syn23875636,Release 1.0,,file,,,OtherAssay
syn23876510,Release 1.0,,file,,,OtherAssay
syn23874319,Release 1.0,,file,,,OtherAssay
syn23874475,Release 1.0,,file,,,OtherAssay
syn23874425,Release 1.0,,file,,,OtherAssay
syn23874401,Release 1.0,,file,,,OtherAssay
syn23876703,Release 1.0,,file,,,OtherAssay
syn23876651,Release 1.0,,file,,,OtherAssay
syn23875886,Release 1.0,,file,,,OtherAssay
syn23873727,Release 1.0,,file,,,OtherAssay
syn23873640,Release 1.0,,file,,,OtherAssay
syn23874160,Release 1.0,,file,,,OtherAssay
syn23874120,Release 1.0,,file,,,OtherAssay
syn25002178,Release 1.0,,file,,,OtherAssay
syn25002168,Release 1.0,,file,,,OtherAssay
syn25002180,Release 1.0,,file,,,OtherAssay
syn25002172,Release 1.0,,file,,,OtherAssay
syn25002171,Release 1.0,,file,,,OtherAssay
syn25002176,Release 1.0,,file,,,OtherAssay
syn25002174,Release 1.0,,file,,,OtherAssay
syn23874929,Release 1.0,,file,,,OtherAssay
syn23875679,Release 1.0,,file,,,OtherAssay
syn23876037,Release 1.0,,file,,,OtherAssay
syn23875257,Release 1.0,,file,,,OtherAssay
syn23873620,Release 1.0,,file,,,OtherAssay
syn23876194,Release 1.0,,file,,,OtherAssay
syn23873835,Release 1.0,,file,,,OtherAssay
syn23874946,Release 1.0,,file,,,OtherAssay
syn23875861,Release 1.0,,file,,,OtherAssay
syn23874373,Release 1.0,,file,,,OtherAssay
syn23875345,Release 1.0,,file,,,OtherAssay
syn23873933,Release 1.0,,file,,,OtherAssay
syn23873584,Release 1.0,,file,,,OtherAssay
syn23874865,Release 1.0,,file,,,OtherAssay
syn23875757,Release 1.0,,file,,,OtherAssay
syn23875102,Release 1.0,,file,,,OtherAssay
syn23876057,Release 1.0,,file,,,OtherAssay
syn23873941,Release 1.0,,file,,,OtherAssay
syn23875228,Release 1.0,,file,,,OtherAssay
syn23875009,Release 1.0,,file,,,OtherAssay
syn23874054,Release 1.0,,file,,,OtherAssay
syn23875006,Release 1.0,,file,,,OtherAssay
syn23874197,Release 1.0,,file,,,OtherAssay
syn23874033,Release 1.0,,file,,,OtherAssay
syn23874836,Release 1.0,,file,,,OtherAssay
syn23875159,Release 1.0,,file,,,OtherAssay
syn23873804,Release 1.0,,file,,,OtherAssay
syn23874240,Release 1.0,,file,,,OtherAssay
syn23875049,Release 1.0,,file,,,OtherAssay
syn23874686,Release 1.0,,file,,,OtherAssay
syn23873954,Release 1.0,,file,,,OtherAssay
syn23875528,Release 1.0,,file,,,OtherAssay
syn23875020,Release 1.0,,file,,,OtherAssay
syn23873870,Release 1.0,,file,,,OtherAssay
syn23875414,Release 1.0,,file,,,OtherAssay
syn23875217,Release 1.0,,file,,,OtherAssay
syn23875770,Release 1.0,,file,,,OtherAssay
syn23875940,Release 1.0,,file,,,OtherAssay
syn23875584,Release 1.0,,file,,,OtherAssay
syn23875309,Release 1.0,,file,,,OtherAssay
syn23875329,Release 1.0,,file,,,OtherAssay
syn23874110,Release 1.0,,file,,,OtherAssay
syn23873714,Release 1.0,,file,,,OtherAssay
syn23875173,Release 1.0,,file,,,OtherAssay
syn23875180,Release 1.0,,file,,,OtherAssay
syn23874829,Release 1.0,,file,,,OtherAssay
syn23874322,Release 1.0,,file,,,OtherAssay
syn23875225,Release 1.0,,file,,,OtherAssay
syn23873534,Release 1.0,,file,,,OtherAssay
syn23874741,Release 1.0,,file,,,OtherAssay
syn23874794,Release 1.0,,file,,,OtherAssay
syn23874807,Release 1.0,,file,,,OtherAssay
syn23873583,Release 1.0,,file,,,OtherAssay
syn23876052,Release 1.0,,file,,,OtherAssay
syn23874930,Release 1.0,,file,,,OtherAssay
syn23874482,Release 1.0,,file,,,OtherAssay
syn23875376,Release 1.0,,file,,,OtherAssay
syn23876481,Release 1.0,,file,,,OtherAssay
syn23874488,Release 1.0,,file,,,OtherAssay
syn23875969,Release 1.0,,file,,,OtherAssay
syn25126546,Release 1.0,,file,,,OtherAssay
syn25126522,Release 1.0,,file,,,OtherAssay
syn25126549,Release 1.0,,file,,,OtherAssay
syn25126566,Release 1.0,,file,,,OtherAssay
syn25126529,Release 1.0,,file,,,OtherAssay
syn25126541,Release 1.0,,file,,,OtherAssay
syn25126528,Release 1.0,,file,,,OtherAssay
syn25126551,Release 1.0,,file,,,OtherAssay
syn25126580,Release 1.0,,file,,,OtherAssay
syn25126518,Release 1.0,,file,,,OtherAssay
syn25126565,Release 1.0,,file,,,OtherAssay
syn25126527,Release 1.0,,file,,,OtherAssay
syn25126512,Release 1.0,,file,,,OtherAssay
syn25126563,Release 1.0,,file,,,OtherAssay
syn25126525,Release 1.0,,file,,,OtherAssay
syn25126578,Release 1.0,,file,,,OtherAssay
syn25126532,Release 1.0,,file,,,OtherAssay
syn25126547,Release 1.0,,file,,,OtherAssay
syn25126515,Release 1.0,,file,,,OtherAssay
syn25126520,Release 1.0,,file,,,OtherAssay
syn25126543,Release 1.0,,file,,,OtherAssay
syn25126538,Release 1.0,,file,,,OtherAssay
syn25126531,Release 1.0,,file,,,OtherAssay
syn25126583,Release 1.0,,file,,,OtherAssay
syn25126548,Release 1.0,,file,,,OtherAssay
syn25126534,Release 1.0,,file,,,OtherAssay
syn25126568,Release 1.0,,file,,,OtherAssay
syn25126579,Release 1.0,,file,,,OtherAssay
syn25126555,Release 1.0,,file,,,OtherAssay
syn25126574,Release 1.0,,file,,,OtherAssay
syn25126556,Release 1.0,,file,,,OtherAssay
syn25126516,Release 1.0,,file,,,OtherAssay
syn25126524,Release 1.0,,file,,,OtherAssay
syn25126577,Release 1.0,,file,,,OtherAssay
syn25126582,Release 1.0,,file,,,OtherAssay
syn25126584,Release 1.0,,file,,,OtherAssay
syn25126569,Release 1.0,,file,,,OtherAssay
syn25126511,Release 1.0,,file,,,OtherAssay
syn25126581,Release 1.0,,file,,,OtherAssay
syn25126570,Release 1.0,,file,,,OtherAssay
syn25126564,Release 1.0,,file,,,OtherAssay
syn25126539,Release 1.0,,file,,,OtherAssay
syn25126575,Release 1.0,,file,,,OtherAssay
syn25126561,Release 1.0,,file,,,OtherAssay
syn25126576,Release 1.0,,file,,,OtherAssay
syn25126544,Release 1.0,,file,,,OtherAssay
syn25126530,Release 1.0,,file,,,OtherAssay
syn25126567,Release 1.0,,file,,,OtherAssay
syn25126557,Release 1.0,,file,,,OtherAssay
syn25126535,Release 1.0,,file,,,OtherAssay
syn25126514,Release 1.0,,file,,,OtherAssay
syn25126562,Release 1.0,,file,,,OtherAssay
syn25126550,Release 1.0,,file,,,OtherAssay
syn25126537,Release 1.0,,file,,,OtherAssay
syn25126553,Release 1.0,,file,,,OtherAssay
syn25126552,Release 1.0,,file,,,OtherAssay
syn25126517,Release 1.0,,file,,,OtherAssay
syn25126523,Release 1.0,,file,,,OtherAssay
syn25126572,Release 1.0,,file,,,OtherAssay
syn25126542,Release 1.0,,file,,,OtherAssay
syn25126558,Release 1.0,,file,,,OtherAssay
syn25126554,Release 1.0,,file,,,OtherAssay
syn25126559,Release 1.0,,file,,,OtherAssay
syn25126519,Release 1.0,,file,,,OtherAssay
syn25126521,Release 1.0,,file,,,OtherAssay
syn25126571,Release 1.0,,file,,,OtherAssay
syn25126560,Release 1.0,,file,,,OtherAssay
syn25126513,Release 1.0,,file,,,OtherAssay
syn25126526,Release 1.0,,file,,,OtherAssay
syn25126536,Release 1.0,,file,,,OtherAssay
syn25126540,Release 1.0,,file,,,OtherAssay
syn25126533,Release 1.0,,file,,,OtherAssay
syn25126656,Release 1.0,,file,,,OtherAssay
syn25126611,Release 1.0,,file,,,OtherAssay
syn25126609,Release 1.0,,file,,,OtherAssay
syn25126649,Release 1.0,,file,,,OtherAssay
syn25126610,Release 1.0,,file,,,OtherAssay
syn25126615,Release 1.0,,file,,,OtherAssay
syn25126596,Release 1.0,,file,,,OtherAssay
syn25126651,Release 1.0,,file,,,OtherAssay
syn25126618,Release 1.0,,file,,,OtherAssay
syn25126620,Release 1.0,,file,,,OtherAssay
syn25126677,Release 1.0,,file,,,OtherAssay
syn25126659,Release 1.0,,file,,,OtherAssay
syn25126616,Release 1.0,,file,,,OtherAssay
syn25126603,Release 1.0,,file,,,OtherAssay
syn25126661,Release 1.0,,file,,,OtherAssay
syn25126622,Release 1.0,,file,,,OtherAssay
syn25126647,Release 1.0,,file,,,OtherAssay
syn25126631,Release 1.0,,file,,,OtherAssay
syn25126629,Release 1.0,,file,,,OtherAssay
syn25126614,Release 1.0,,file,,,OtherAssay
syn25126636,Release 1.0,,file,,,OtherAssay
syn25126607,Release 1.0,,file,,,OtherAssay
syn25126642,Release 1.0,,file,,,OtherAssay
syn25126657,Release 1.0,,file,,,OtherAssay
syn25126637,Release 1.0,,file,,,OtherAssay
syn25126654,Release 1.0,,file,,,OtherAssay
syn25126658,Release 1.0,,file,,,OtherAssay
syn25126606,Release 1.0,,file,,,OtherAssay
syn25126653,Release 1.0,,file,,,OtherAssay
syn25126660,Release 1.0,,file,,,OtherAssay
syn25126638,Release 1.0,,file,,,OtherAssay
syn25126625,Release 1.0,,file,,,OtherAssay
syn25126630,Release 1.0,,file,,,OtherAssay
syn25126640,Release 1.0,,file,,,OtherAssay
syn25126621,Release 1.0,,file,,,OtherAssay
syn25126644,Release 1.0,,file,,,OtherAssay
syn25126595,Release 1.0,,file,,,OtherAssay
syn25126601,Release 1.0,,file,,,OtherAssay
syn25126586,Release 1.0,,file,,,OtherAssay
syn25126585,Release 1.0,,file,,,OtherAssay
syn25126597,Release 1.0,,file,,,OtherAssay
syn25126593,Release 1.0,,file,,,OtherAssay
syn25126626,Release 1.0,,file,,,OtherAssay
syn25126633,Release 1.0,,file,,,OtherAssay
syn25126652,Release 1.0,,file,,,OtherAssay
syn25126590,Release 1.0,,file,,,OtherAssay
syn25126600,Release 1.0,,file,,,OtherAssay
syn25126684,Release 1.0,,file,,,OtherAssay
syn25126591,Release 1.0,,file,,,OtherAssay
syn25126619,Release 1.0,,file,,,OtherAssay
syn25126599,Release 1.0,,file,,,OtherAssay
syn25126646,Release 1.0,,file,,,OtherAssay
syn25126594,Release 1.0,,file,,,OtherAssay
syn25126627,Release 1.0,,file,,,OtherAssay
syn25126634,Release 1.0,,file,,,OtherAssay
syn25126588,Release 1.0,,file,,,OtherAssay
syn25126635,Release 1.0,,file,,,OtherAssay
syn25126645,Release 1.0,,file,,,OtherAssay
syn25126628,Release 1.0,,file,,,OtherAssay
syn25126605,Release 1.0,,file,,,OtherAssay
syn25126592,Release 1.0,,file,,,OtherAssay
syn25126639,Release 1.0,,file,,,OtherAssay
syn25126602,Release 1.0,,file,,,OtherAssay
syn25126598,Release 1.0,,file,,,OtherAssay
syn25126589,Release 1.0,,file,,,OtherAssay
syn25126612,Release 1.0,,file,,,OtherAssay
syn25126632,Release 1.0,,file,,,OtherAssay
syn25126623,Release 1.0,,file,,,OtherAssay
syn25126641,Release 1.0,,file,,,OtherAssay
syn25126643,Release 1.0,,file,,,OtherAssay
syn25126587,Release 1.0,,file,,,OtherAssay